2021-03-23 15:26:28,720 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lt.activit.activiti.service.TestServiceTest], using SpringBootContextLoader
2021-03-23 15:34:22,668 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource 1863 - {dataSource-1} closed
2021-03-23 15:36:46,672 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lt.activit.activiti.service.TestServiceTest], using SpringBootContextLoader
2021-03-23 15:36:46,693 [main] INFO  o.s.t.c.s.AbstractContextLoader 264 - Could not detect default resource locations for test class [com.lt.activit.activiti.service.TestServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-03-23 15:36:46,694 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils 83 - Could not detect default configuration classes for test class [com.lt.activit.activiti.service.TestServiceTest]: TestServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-03-23 15:36:46,948 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 235 - Found @SpringBootConfiguration com.lt.activit.activiti.ActivitiApplication for test class com.lt.activit.activiti.service.TestServiceTest
2021-03-23 15:36:47,251 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-03-23 15:36:47,295 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@9c54f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1e74829, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@16f416f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18f0a79, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e693fa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@793bef, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1286fb6, org.springframework.test.context.event.EventPublishingTestExecutionListener@b77ea8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@18b43c7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@aca91a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@c73c26, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1005828, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@b4beb4]
2021-03-23 15:36:54,130 [main] INFO  c.l.a.a.service.TestServiceTest 655 - The following profiles are active: dev
2021-03-23 15:36:55,243 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-03-23 15:36:55,280 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 19ms. Found 0 JPA repository interfaces.
